Date,Tent,Trt,Nbird,WSide,BSide,Interval,WApproach,BApproach,Away,EatDrink,Still,Neutral
7/9/2018,3,CON,16,L,R,1,0,0,23.81,5.36,23.51,47.32
7/9/2018,3,CON,16,L,R,2,0,0,0,11.25,50,38.75
7/9/2018,3,CON,16,L,R,3,3.13,2.19,0,11.25,29.06,54.38
7/9/2018,3,CON,16,L,R,4,2.81,0.31,0,14.69,28.13,54.06
7/9/2018,3,CON,16,L,R,5,0.31,1.88,0,8.13,28.44,61.25
7/9/2018,3,CON,16,L,R,6,0.31,0.63,0,14.06,34.06,50.94
7/10/2018,15,CON,16,R,L,1,0.89,0.6,36.01,2.08,23.21,37.2
7/10/2018,15,CON,16,R,L,2,1.25,0.31,4.06,9.38,48.44,36.56
7/10/2018,15,CON,16,R,L,3,0,0.31,0,30.94,28.13,40.63
7/10/2018,15,CON,16,R,L,4,0,0.31,0,12.19,45.94,41.56
7/10/2018,15,CON,16,R,L,5,0.94,0.31,0,5.94,60.31,32.5
7/10/2018,15,CON,16,R,L,6,0.31,0.63,0,19.69,40.31,39.06
7/9/2018,2,G2,18,L,R,1,3.7,3.44,4.5,6.08,29.63,52.65
7/9/2018,2,G2,18,L,R,2,0.83,1.11,45.56,2.22,21.94,28.33
7/9/2018,2,G2,18,L,R,3,2.22,1.67,6.11,2.5,33.89,53.61
7/9/2018,2,G2,18,L,R,4,1.39,2.22,0,5.56,45,45.83
7/9/2018,2,G2,18,L,R,5,0.83,2.22,0,14.17,45.28,37.5
7/9/2018,2,G2,18,L,R,6,1.11,8.06,0,5,55.83,30
7/9/2018,9,G2,18,R,L,1,2.65,5.03,2.12,2.12,56.88,31.22
7/9/2018,9,G2,18,R,L,2,1.94,1.94,0.56,0.83,69.44,25.28
7/9/2018,9,G2,18,R,L,3,8.06,8.33,0,2.5,54.72,26.39
7/9/2018,9,G2,18,R,L,4,4.17,5.83,0,3.61,64.72,21.67
7/9/2018,9,G2,18,R,L,5,3.89,4.44,0,5.56,62.22,23.89
7/9/2018,9,G2,18,R,L,6,3.06,5.56,0,5,57.5,28.89
7/10/2018,12,G2,18,L,R,1,3.7,4.76,16.14,3.17,26.46,45.77
7/10/2018,12,G2,18,L,R,2,1.39,1.94,1.67,1.94,49.72,43.33
7/10/2018,12,G2,18,L,R,3,1.39,0,45.28,0.28,26.67,26.39
7/10/2018,12,G2,18,L,R,4,1.11,0.56,46.94,0.28,33.61,17.5
7/10/2018,12,G2,18,L,R,5,5,1.39,33.33,1.39,40.56,18.33
7/10/2018,12,G2,18,L,R,6,1.11,1.67,0.83,3.61,54.17,38.61
7/9/2018,8,G3,18,R,L,1,2.12,0.53,28.57,0.26,37.57,30.95
7/9/2018,8,G3,18,R,L,2,1.67,1.11,45.83,2.78,15.83,32.78
7/9/2018,8,G3,18,R,L,3,1.67,2.78,20.28,1.67,29.44,44.17
7/9/2018,8,G3,18,R,L,4,1.11,2.78,10.83,1.94,48.61,34.72
7/9/2018,8,G3,18,R,L,5,1.39,1.94,0.83,4.44,42.22,49.17
7/9/2018,8,G3,18,R,L,6,0.56,4.17,0,9.17,47.78,38.33
7/10/2018,13,G3,17,L,R,1,3.08,7.84,0,2.24,54.62,32.21
7/10/2018,13,G3,17,L,R,2,5,2.35,0,1.47,59.41,31.76
7/10/2018,13,G3,17,L,R,3,3.24,3.24,0,4.71,55.59,33.24
7/10/2018,13,G3,17,L,R,4,1.76,2.06,0,10.29,49.12,36.76
7/10/2018,13,G3,17,L,R,5,1.18,5.88,0,10.29,46.18,36.47
7/10/2018,13,G3,17,L,R,6,3.53,2.94,0,2.06,51.18,40.29
7/10/2018,10,G4,18,L,R,1,4.76,10.05,3.44,3.17,51.06,27.51
7/10/2018,10,G4,18,L,R,2,3.89,8.06,0,5.56,46.94,35.56
7/10/2018,10,G4,18,L,R,3,1.39,3.61,0,2.78,53.33,38.89
7/10/2018,10,G4,18,L,R,4,1.11,5.83,0,5,53.33,34.72
7/10/2018,10,G4,18,L,R,5,1.67,3.06,0,4.72,65.28,25.28
7/10/2018,10,G4,18,L,R,6,1.39,4.72,0,11.11,63.33,19.44
7/10/2018,11,G4,18,L,R,1,8.2,3.17,3.44,1.32,42.59,41.27
7/10/2018,11,G4,18,L,R,2,4.44,6.11,0,3.33,54.17,31.94
7/10/2018,11,G4,18,L,R,3,6.94,6.94,0,2.5,46.39,37.22
7/10/2018,11,G4,18,L,R,4,1.94,7.78,0,5.28,52.5,32.5
7/10/2018,11,G4,18,L,R,5,1.94,9.44,0.28,8.33,48.33,31.67
7/10/2018,11,G4,18,L,R,6,5.28,8.06,0,5.83,43.33,37.5
7/10/2018,16,G4,17,R,L,1,3.92,11.2,5.32,2.8,42.86,33.89
7/10/2018,16,G4,17,R,L,2,3.24,2.65,0.29,2.65,50,41.18
7/10/2018,16,G4,17,R,L,3,1.18,2.94,0,1.76,52.35,41.76
7/10/2018,16,G4,17,R,L,4,1.18,2.06,0,6.18,44.41,46.18
7/10/2018,16,G4,17,R,L,5,1.47,2.06,0,1.47,57.06,37.94
7/10/2018,16,G4,17,R,L,6,1.76,0.29,0,5,52.94,40
7/9/2018,4,G5,18,L,R,1,3.97,5.82,0,4.23,41.27,44.71
7/9/2018,4,G5,18,L,R,2,3.33,1.11,0,5.56,64.17,25.83
7/9/2018,4,G5,18,L,R,3,3.06,8.33,0.28,4.17,41.11,43.06
7/9/2018,4,G5,18,L,R,4,4.17,4.44,0.28,6.67,42.78,41.67
7/9/2018,4,G5,18,L,R,5,1.39,9.44,0,12.22,49.17,27.78
7/9/2018,4,G5,18,L,R,6,0.56,6.11,0.28,11.39,35,46.67
7/9/2018,6,G5,18,R,L,1,3.17,8.2,29.1,3.97,19.58,35.98
7/9/2018,6,G5,18,R,L,2,0.28,11.11,0.28,1.67,40.56,46.11
7/9/2018,6,G5,18,R,L,3,3.61,5.28,0.83,4.17,41.39,44.72
7/9/2018,6,G5,18,R,L,4,3.06,5.28,0,4.72,47.78,39.17
7/9/2018,6,G5,18,R,L,5,0.56,6.39,0,3.61,54.44,35
7/9/2018,6,G5,18,R,L,6,0.83,6.11,0.28,3.89,54.17,34.72
7/10/2018,17,G5,17,L,R,1,2.24,3.92,1.68,2.52,47.9,41.74
7/10/2018,17,G5,17,L,R,2,0.59,6.76,0.59,9.71,44.41,37.94
7/10/2018,17,G5,17,L,R,3,2.35,5,0,6.18,40,46.47
7/10/2018,17,G5,17,L,R,4,0.88,2.94,0,4.12,48.53,43.53
7/10/2018,17,G5,17,L,R,5,2.06,1.47,0.29,6.18,52.65,37.35
7/10/2018,17,G5,17,L,R,6,1.76,5.29,0,9.41,60.88,22.65
7/9/2018,5,G6,18,L,R,1,10.85,1.85,3.17,5.03,30.95,48.15
7/9/2018,5,G6,18,L,R,2,2.22,4.72,0.28,4.72,51.67,36.39
7/9/2018,5,G6,18,L,R,3,1.11,3.89,0,2.5,56.11,36.39
7/9/2018,5,G6,18,L,R,4,0.28,2.22,0,7.78,58.61,31.11
7/9/2018,5,G6,18,L,R,5,0.28,1.67,0,20.28,43.06,34.72
7/9/2018,5,G6,18,L,R,6,0,0,0,11.39,73.61,15
7/9/2018,7,G6,18,L,R,1,1.32,0.53,45.24,1.06,25.4,26.46
7/9/2018,7,G6,18,L,R,2,3.89,5,4.44,8.06,49.17,29.44
7/9/2018,7,G6,18,L,R,3,5,1.11,0,2.22,68.06,23.61
7/9/2018,7,G6,18,L,R,4,7.22,2.5,0.28,8.06,59.72,22.22
7/9/2018,7,G6,18,L,R,5,1.11,3.06,0,8.33,63.61,23.89
7/9/2018,7,G6,18,L,R,6,0,3.33,0,1.39,75.56,19.72
7/10/2018,14,G6,18,R,L,1,7.67,12.7,3.44,0.79,41.01,34.39
7/10/2018,14,G6,18,R,L,2,5.28,9.44,0.28,1.39,41.67,41.94
7/10/2018,14,G6,18,R,L,3,2.78,9.17,0,2.5,43.89,41.67
7/10/2018,14,G6,18,R,L,4,1.39,9.72,0.28,5.56,45.56,37.5
7/10/2018,14,G6,18,R,L,5,1.67,3.61,0,5.56,49.72,39.44
7/10/2018,14,G6,18,R,L,6,0.83,3.06,0.56,13.61,47.78,34.17
